Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,age_category,rating_category,result
1126,51,Surprisingly amazing,"I tried this on at the store in the regular size it came in and thought maybe it has some potential is i ordered it for me in a petite since that's what i am. i ignored the package when i first got it thinking it wouldn't really look right but omg, it's 100% amazing and flattering. wear it with skinny jeans, leggings, jeggings, whatever and it's just super awesome on dressed up or down. i'd buy this over and over again without a doubt.",5,1,3,General,Jackets,Outerwear,adultos,boa,"b'{""usage"":{""text_units"":1,""text_characters"":439,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""thought maybe it has some potential"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""COMPANY"",""text"":""i ignored the package"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""PRODUCT"",""text"":""i\'d buy this over"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'"
850,23,The most versatile top.,"I bought this shirt to wear to work (i'm a teacher). this shirt is so amazing. i'm able to pair it with work pants to dress it up, and in denim to dress it down. the cut is incredible, with the peplum waist coming right below my breasts a little above my waist. the length is perfect, and it just seems to create the most perfect shape. the material is high quality, and i just love the fabric texture. it's very soft, and gives a tiny bit of stretch, but not much. i did size up in this shirt (i'm u",5,1,6,General Petite,Tops,Blouses,jovens,boa,"b'{""usage"":{""text_units"":1,""text_characters"":500,""features"":1},""language"":""en"",""entities"":[{""type"":""COMPANY"",""text"":""I bought this shirt to wear to work"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""PRODUCT"",""text"":""this shirt is so amazing"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""the length is perfect"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""the material is high quality"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""i just love the fabric texture"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""it\'s very soft"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'"
862,23,My go-to shirt,"I honestly bought this shirt on a whim the other day in my local retailer. i was drawn to the color and the swing. first of all, this shirt is incredibly soft and lightweight. i love the flow of the loose peplum. the straps are nicely placed, because they're wider and accentuate my arms (and cover my bra straps). i love the little v neck detail. it shows a little cleavage when bent or hunched over, but the top stays conservative when truly upright. i wore this shirt 3 days in a row last week, and",5,1,21,General,Tops,Knits,jovens,boa,"b'{""usage"":{""text_units"":1,""text_characters"":501,""features"":1},""language"":""en"",""entities"":[{""type"":""COMPANY"",""text"":""I honestly bought this shirt on a whim the other day in my local retailer"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""PRODUCT"",""text"":""i love the flow of the loose peplum"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""the straps are nicely placed"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""i love the little v neck detail"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'"
1072,33,Lovely!,"Comfortable, relaxed fit. i am very top heavy and the generous cut of this dress worked well!",5,1,0,General Petite,Dresses,Dresses,adultos,boa,"b'{""usage"":{""text_units"":1,""text_characters"":93,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""Comfortable, relaxed fit"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""i am very top heavy and the generous cut of this dress worked well"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'"
862,64,Versatile!,"This top is comfortable and flattering. i really like the simplicity- a wearable basic summer top, with a cute twist, just enough to make it contemporary, but not overstated.",5,1,0,General,Tops,Knits,terceira idade,boa,"b'{""usage"":{""text_units"":1,""text_characters"":174,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""This top is comfortable and flattering"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""i really like the simplicity"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1}]}'"
1072,33,Beautiful dress - runs huge!,"I fell in love with this dress online and went to try on in the store. i'm 5'6, 128 lbs with some boobs, usually a s or size 4. i tried on the s and xs, and ended up buying the xs - and i've never worn an xs in my life. it is long and loose, hanging right at my knees. the body is roomy, and i am thinking of having it taken in a couple of inches at the waist. there is pleating in the front that begins just below my natural waist and extends out to the hips, plus pockets (!!!). the sleeves are lon",5,1,14,General Petite,Dresses,Dresses,adultos,boa,"b'{""usage"":{""text_units"":1,""text_characters"":500,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""this dress online"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""COMPANY"",""text"":""there is pleating in"",""disambiguation"":{""subtype"":[""MAL""]},""count"":1},{""type"":""PRODUCT"",""text"":""the sleeves are lon"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'"
1072,40,Great dress with a little help added!,"This dress is comfortable and the pattern is really nice with some good attention to detail on the lace trim and pockets. i ordered this in my usual pxs (i am 5'2""), but this definitely runs very large. it is a shirt style dress so i didn't expect it to be fitted, but off the hanger it was just too shapeless and sack-like for me. i really wanted it to work, so i took it to my tailor and she added a beautiful navy rope-like tie attached to both sides in the back of the dress. it looks amazing, an",4,1,0,General Petite,Dresses,Dresses,adultos,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":500,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""This dress is comfortable and the pattern is really nice"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""style dress"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""PRODUCT"",""text"":""the dress"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""PRODUCT"",""text"":""it looks amazing"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'"
896,60,Super sweater,"This will be a favorite sweater this winter. it has a loose but flattering fit. i purchased the red (a deep rusty red), and it fits me exactly as it does the model pictured...slightly loose but flattering, mid hip, open neckline. you can't tell in the picture, but the neckline is rolled. i am 5'2"", 140 lbs., just a bit fluffy. the small fits me perfectly. i think that you could size down from your regular size if you prefer a closer fit. the sleeves are at the top of my hands, just below the wri",5,1,1,General,Tops,Fine gauge,adultos,boa,"b'{""usage"":{""text_units"":1,""text_characters"":500,""features"":1},""language"":""en"",""entities"":[{""type"":""COMPANY"",""text"":""i purchased"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""PRODUCT"",""text"":""you can\'t tell in the picture"",""disambiguation"":{""subtype"":[""MAL""]},""count"":1},{""type"":""PRODUCT"",""text"":""small fits me perfectly"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""PRODUCT"",""text"":""the sleeves are at the top of my hands"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'"
872,36,Poor fabric quality,Looks great in the picture but when i got this in the mail the fabric was so stiff! shaking it out did nothing-almost like it was dipped in drying glue. i got this for $10 which is so cheap and i still returned it!,1,0,0,General Petite,Tops,Knits,adultos,muito ruim,"b'{""usage"":{""text_units"":1,""text_characters"":214,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""the fabric was so stiff"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'"
1072,35,A hit!,"I bought this dress in the green. it runs big - i usually take a s and had to return for xs - i am 5'5"" and 125. it flows beautifully and can be dressed up with heels or worn completely casual with flip flops. worth every penny!!",5,1,3,General Petite,Dresses,Dresses,adultos,boa,"b'{""usage"":{""text_units"":1,""text_characters"":229,""features"":1},""language"":""en"",""entities"":[{""type"":""COMPANY"",""text"":""I bought this dress in the green"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""PRODUCT"",""text"":""heels"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""PRODUCT"",""text"":""flip flops"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1}]}'"
1072,68,Beautiful dress--if you can figure out your size!,"For a brand called ""tiny""--this dress was really big. i ordered my usual m and it was like a sack--virtually no shape to it at all. i haven't been a small in many decades, so i'm really hesitant to order it again. i'm afraid i'll be like goldilocks--""too big!"", ""too small!""--but i'm probably going to give it a whirl because the green print is so pretty, and i l like that it has sleeves to protect from sun. and pockets! lots of good qualities, just putting them together in a wearable size seems t",4,1,1,General Petite,Dresses,Dresses,terceira idade,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":500,""features"":1},""language"":""en"",""entities"":[{""type"":""COMPANY"",""text"":""i ordered my usual m and"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""PRODUCT"",""text"":""it"",""disambiguation"":{""subtype"":[""MAL""]},""count"":1},{""type"":""PRODUCT"",""text"":""i haven\'t been a small in many decades"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1}]}'"
850,53,Love it!,"This tank runs very true to size. i ordered my usual size 8, which fits like a glove. couldn't go any smaller. very pretty fabric which is lined above the peplum. i personally like the higher peplum, but it's a personal choice. great purchase!",5,1,3,General Petite,Tops,Blouses,adultos,boa,"b'{""usage"":{""text_units"":1,""text_characters"":243,""features"":1},""language"":""en"",""entities"":[{""type"":""COMPANY"",""text"":""i ordered my usual size 8"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""PRODUCT"",""text"":""very pretty fabric which is lined above the peplum"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""i personally like the higher peplum"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'"
912,70,Versatile vest,I love the black and grey version of the vest but decided too try it in plum. the plum color is used only on the lapels and inside of the garment. it has no finished seams but it is like a soft boiled wool so it wouldn't ravel. the seam in the waistline area breaks up the design and adds more interest.,4,1,4,General,Tops,Fine gauge,terceira idade,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":303,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""I love the black and grey version of the vest"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'"
896,28,"Bought for my sister, she loves it!","This was a christmas gift to my sister. she liked it so much she wore it the day after opening it. very cute design, lovely deep red color. only thing to look out for is the potential of fabric to snag - looks like it may do so easily if wearing long jewelry. may run a bit large, but the medium for her well (slightly loose fitting garment). she is 5'7 and would probably wear a large in a typical shirt.",5,1,0,General,Tops,Fine gauge,adultos,boa,"b'{""usage"":{""text_units"":1,""text_characters"":405,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""This was a christmas gift to my sister"",""disambiguation"":{""subtype"":[""MAL""]},""count"":1},{""type"":""COMPANY"",""text"":""she is 5\'7 and would probably wear a large in a typical shirt"",""disambiguation"":{""subtype"":[""MAL""]},""count"":1}]}'"
1126,38,Nice design but quality isses,"I tried this jacket on and it was definitely cute but a couple things to note. it's a wool acrylic blend and it was already starting to pill from being tried on in the store. also, it's unlined. i thought the price point was high given its fibers and unlined. given its hem, i wonder how much longevity the piece has and how quickly it might start to look dated too.",3,0,1,General,Jackets,Outerwear,adultos,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":366,""features"":1},""language"":""en"",""entities"":[]}'"
862,21,Perfect shirt,"I absolutely adore this shirt!!! the pinkish rosey color is beautiful and ended up being better than i had imagined. i will say that the shirt is a bit more casual than i thought it was going to be, the way it hangs or something..not really sure. nonetheless, it is perfect. can be dressed up or down, which is the best quality to have in any piece of clothing! i can tell i'm going to get a lot of wear out of it.",5,1,0,General,Tops,Knits,jovens,boa,"b'{""usage"":{""text_units"":1,""text_characters"":414,""features"":1},""language"":""en"",""entities"":[{""type"":""COMPANY"",""text"":""I absolutely adore this shirt"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""COMPANY"",""text"":""i will say that the shirt is a bit more casual than"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""i can tell i\'m going to get a lot of wear out of it"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'"
