Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
1083,25,"Beautiful, well made dress but little flexibility","This dress is gorgeous. the fabric is thick and layered with well designed lines. since the fabric is thick, it gives very little around your body. i have wide hips, a big butt and bust so this dress unfortunately was not a good fit for me. i usually fit in a 6 petite and for this one i got an 8. it fit around my bust and hips, but was bunched up in the back. i would definitely at least give this dress a try because it was very beautiful.",4,1,3,General,Dresses,Dresses
862,57,,"Love this layering piece! a little low cut for my personal comfort, but a tank underneath works great.",5,1,0,General,Tops,Knits
828,48,Thin lightweight and sheer,"Personally i love cloth and stone. . this top however sheer is still a nice top to have in my rotation. it is thin, lightweight, and sheer but with a cami or nude bra can be pulled off nicely.. i did find the top to be tts for me but the sleeves were snug. i purchased this on sale with extra 30 percent off so i was justified in getting it..",4,1,0,General,Tops,Blouses
911,70,,"I ended up returning it just because it didn't do much for my current postnatal figure, but otherwise this top is just so pretty and unique!",3,1,0,General Petite,Tops,Fine gauge
1078,47,Really pretty dress,"I wanted to love this dress - it is gorgeous on the model, but unfortunately for me, it didn't fit right. i'm petite and ordered the xxs petite. it was snug in the upper body and looked like i was wearing a baby-doll dress. the material is high quality and i love the burnt red color. it just didn't fit right. definitely looks great on the model, but hung funny on me. i can see why it was highly rated, gorgeous dress - just not on me.",3,0,8,General Petite,Dresses,Dresses
539,27,,Love this shirt and the details on the collar.,5,1,1,General Petite,Intimate,Lounge
1045,35,,"Beautiful color, gorgeous chic design and great material",5,1,0,General,Bottoms,Pants
836,36,Stunning!,"I knew i wanted this top the moment i saw it, so onto my wishlist it went until it went on sale! it fits beautifully in my normal size and i love that it already has a coordinating tank top. i get compliments whenever i wear it- think hd in paris might be my new go-to!",5,1,0,General Petite,Tops,Blouses
863,43,Great shirt,"Bought this shirt in the black. runs tts, very comfortable and flattering. past left of center shirts in this style/fabric seem to run a little large, but i bought this in my usual retailer m, and it's great. very similar to last years style, but perhaps a tad more fitted. i gave it a 4 for quality b/c i have noticed a little bit of pilling under the arm area, but overall, it holds up pretty well.",5,1,3,General,Tops,Knits
1101,51,"Wanted to love this dress, but...","When you look at the online pictures of the navy colored dress, the stripes are diagonal. however, that is not the case with the dress in person. the stripes are all horizontal and not that flattering. such a bummer because i love maeve dresses and thought this would be a great addition to my summer dress rotation. alas, not very flattering, so back it goes.",2,0,9,General Petite,Dresses,Dresses
825,58,,I purchased the blue & white pattern of this shirt. the color blue was bright and contrasted perfectly with the white color in the square design. this shirt worn with a white pair of slacks or a white skirt makes a perfect presentation for any occassion during the warm spring and summer months. the fit of the shirt was true to size. i love the longer length of this shirt because it elongates one's height. the cuffed sleeves are perfect in length. the classic style of this shirt guarantees many y,5,1,0,General Petite,Tops,Blouses
1070,45,So soft,"These pants are so soft and comfortable. i'm almost 5'6"" and the hem completely covers my ankles but does stop short of bunching. the only thing i'm not crazy about is the waist. it's pretty high and a bit loose so every time i get up from sitting i'm having to pull my pants back up. other than that, love that it's something that can be dressed up or down.",4,1,0,General,Bottoms,Pants
833,55,Beautiful!,"This top is so pretty. i purchased the peach color. it does run large so you will need to size down. you do not need to wear a cami which is nice in the summer. it will look great with jeans, white jeans, shorts, dress it up or down. its not suppose to fit tight... love it!",5,1,8,General,Tops,Blouses
1049,20,Flattering and versatile,"I purchased this early in summer and have worn it a lot. you can dress it up or down, and since it's comfortable you will want to wear it a lot. i can wear it for everything from walking the dog to going out to dinner.. i bought 2 jumpsuits this summer and this is by far my favorite. the fit is flattering, fitted but not tight and the self-tie belt gives your waist definition so the overall look is hourglass. i am tall and i normally take an xs or s. i went with the s to ensure that it was long",5,1,0,General,Bottoms,Pants
