Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,age_category,rating_category,result
1111,26,"Beautiful in the pic, fits kind of funny in person","I was really hoping that this dress would fit perfectly because it looks beautiful on the model! however, when i put the dress on, there is a seam where the top portion meets the bottom portion and it made the skirt stick out a ton. i ordered the 0p and i am 5'4"" 110lbs. maybe ordering this dress in a larger size would prevent the skirt from looking so full at the top.",3,0,0,General,Dresses,Dresses,adultos,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":371,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""fit perfectly because it looks beautiful"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""the dress"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""COMPANY"",""text"":""maybe ordering this dress in a larger size would prevent the skirt from looking so full at the top"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1}]}'"
1020,62,,"Tried this skirt on in the store and loved it...so pretty,feminine and versatile,except for the color.. although its a gorgeous color and i do love red,how often do people wear red skirts? i would have snatched it up if it were offered in other colors. unlike the other reviewer,i think the ruching is great as it gives you the option to wear the skirt higher or lower on your waist and adds the axtra interest factor. as this would be a totally frivolous buy,i'm going to resist and try to wait for",4,1,2,General,Bottoms,Skirts,terceira idade,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":499,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""i do love red"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""i would have snatched it up if it were offered in other colors"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1}]}'"
1033,41,,"I love the cut of these pants! kind of a flare, kind of a boot cut and super flattering. they are long so really need heels to keep a nice leg. they have tons of stretch so i could wear two different size. i choose the smaller for a little less length in the leg. i consider them more pants then denim.",5,1,14,General,Bottoms,Jeans,adultos,boa,"b'{""usage"":{""text_units"":1,""text_characters"":302,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""I love the cut of these pants"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""they are long so really need heels to keep a nice leg"",""disambiguation"":{""subtype"":[""MAL""]},""count"":1}]}'"
1094,22,Great cut,"This dress is a beautiful cut, and thankfully, it comes in petite so it fit my frame. i ordered it in my usual size in both 2r and 2p and will be returning the r. checks are cute and can be dressed up for work or for social event depending on goal. fabric is a little scratchy but texture and cut are great.",4,1,0,General Petite,Dresses,Dresses,jovens,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":307,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""This dress is a beautiful"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""COMPANY"",""text"":""fabric is a little scratchy but texture"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1}]}'"
1072,25,,"I'm not normally one to spend $89.99 on a dress from retailer, but when this dress arrived in the mail it was a no-brainer that i would keep it. it hangs beautifully on your body and the fabric is extremely comfortable the tie at the waist is really flattering and the neckline adds a little bit of fun. i imagine it can go from season to season pretty easily: springtime with a cardigan and flats --> summer with wedges --> fall with tights and boots. i love pieces that can serve different purposes a",5,1,1,General,Dresses,Dresses,jovens,boa,"b'{""usage"":{""text_units"":1,""text_characters"":502,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""this dress"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""PRODUCT"",""text"":""extremely comfortable the tie at"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""i imagine it can go from season to season pretty easily: springtime with a cardigan and flats"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""i love pieces that can serve different purposes"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'"
1056,42,"I ""heart"" this!",I purchased this jumpsuit for christmas parties this year and have received so many compliments. it's a great fit and very comfortable. i especially love the pockets! very flattering.,5,1,4,General,Bottoms,Pants,adultos,boa,"b'{""usage"":{""text_units"":1,""text_characters"":183,""features"":1},""language"":""en"",""entities"":[{""type"":""COMPANY"",""text"":""I purchased this jumpsuit for christmas parties this year and have received so many compliments"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""very comfortable"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""i especially love the pockets"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""very flattering"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'"
1020,26,The skirt,"I honestly can't say enough wonderful things about this beautiful skirt. it is so soft and comfortable, very flowy and flattering, i have a smaller waist but wider hips, and this accentuates all of my best features! i highly recommend this skirt for any occasion! i wore it to my bridal shower and got soo many compliment and i really couldn't stop touching the material. what a wonderful addition to my closet!",5,1,0,General,Bottoms,Skirts,adultos,boa,"b'{""usage"":{""text_units"":1,""text_characters"":411,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""I honestly can\'t say enough wonderful things about this beautiful skirt"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""PRODUCT"",""text"":""comfortable, very flowy and flattering"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""COMPANY"",""text"":""i really couldn\'t stop touching the material"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1}]}'"
1094,39,Flattering and rich colors,"The burgundy and black dress is stunning on. beautiful cut and colors. i think
i do need the petite however. the material is not as stretchy as other dresses, but the dress does keep its shape.",4,1,5,General Petite,Dresses,Dresses,adultos,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":193,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""black dress is stunning on"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""the material is not as stretchy as other dresses"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'"
1094,38,Vintage - classic style,"I bought this dress online because it looked interesting and on sale for $30 why not. i think it looks unassuming on the hanger but on it is fantastic. i am 5' 3"", 150 pounds, 34d and the 8 fit me perfectly. it accentuates the curves without revealing anything. will be perfect for fall/winter but am going to wear it to a wedding in june where the bride is a vintage loving person so i think with the right shoes and jewelry it will be perfect.",4,1,0,General Petite,Dresses,Dresses,adultos,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":445,""features"":1},""language"":""en"",""entities"":[{""type"":""COMPANY"",""text"":""I bought this dress online because it looked interesting and on sale for $30 why not"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""PRODUCT"",""text"":""it looks unassuming on the hanger"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""will be perfect for fall"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'"
1020,36,Luxurious!,Fits great and just as pictured. the material is very smooth and slinky.,5,1,0,General,Bottoms,Skirts,adultos,boa,"b'{""usage"":{""text_units"":1,""text_characters"":72,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""Fits great and just as pictured"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""the material is very smooth and slinky"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'"
1094,52,,Perfect slimming fit. wore it to work and then on to a holiday party. received multiple compliments throughout the day and evening!,5,1,4,General Petite,Dresses,Dresses,adultos,boa,"b'{""usage"":{""text_units"":1,""text_characters"":131,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""wore it to work"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'"
1094,35,"Completely agree, not worth it","The design is very flattering and holiday appropriate. but like many maeve dresses it is absurdly overpriced for the cheap materials used. although figure flattering, the zipper is so cheap that --it runs along the left side -- it bubbles out ruining the sleek look of the bodycon dress. and the rough cheap poly is not worth what they're asking for it. maybe find this on the sale rack but not at retail",2,0,9,General Petite,Dresses,Dresses,adultos,muito ruim,"b'{""usage"":{""text_units"":1,""text_characters"":404,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""The design is very flattering"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""bodycon dress"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1}]}'"
