Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,age_category,rating_category,result,classify,tipo,sentimento
936,49,A signature piece,"Absolutely beautiful jacket...the craftsmanship is amazing, and the colors remind me of a impressionist water color. the jacket runs true to size (i'm 5'7"" and 115 pounds with a 30e bust and the extra small fit perfectly). unlike the other reviewers, i didn't have issue with the bottom not lying flat or the collar bunching up. i wore it with a green leather pencil skirt and suede stilettos, but you can also wear it with skinny jeans as well.i got this very deeply discounted, and although it is i",5,1,1,General,Tops,Sweaters,adultos,boa,"b'{""usage"":{""text_units"":1,""text_characters"":500,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""fit perfectly)"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""i didn\'t have issue with the bottom not lying flat or the collar bunching up"",""disambiguation"":{""subtype"":[""MAL""]},""count"":1}]}'","('PRODUCT', 'MAL')",PRODUCT,MAL
1083,34,Very cute everyday dress,"The retailer store by me only carried these in the petites, but i've learned to always snag a petite just to see because sometimes the petites fit just as well, if not better, depending on the length of the outfit!
______________
pros:
- looks exactly the same in person as online. color runs true.
- well made, good stitching, solid dress.
- great length in the sleeves.
- fits tts. i'm normally a size 10 or 12 and grabbed the 12p to see how it'd fit. other than being too short in length on my",4,1,8,General Petite,Dresses,Dresses,adultos,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":496,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""The retailer store"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""COMPANY"",""text"":""- well made, good stitching, solid dress"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""- great length in the sleeves"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""fits tts"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'","('PRODUCT', 'BEM')",PRODUCT,BEM
862,38,Cute tunic with interesting neckline,"Super soft and colors are great. i got the navy and plan to wear with white jeans and platforms, similar to the photo. would also look great with black skinny pants. worth it for the sale price.",4,1,1,General,Tops,Knits,adultos,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":194,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""Super soft and colors are great"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""black skinny pants"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""COMPANY"",""text"":""worth it for the sale price"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1}]}'","('PRODUCT', 'BEM')",PRODUCT,BEM
940,34,Ivory was odd color,"This sweater is really cute, great fit and unique style. unfortunately the ivory color was more yellow than i like. not the right shade for my skin tone.",3,0,2,General Petite,Tops,Sweaters,adultos,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":153,""features"":1},""language"":""en"",""entities"":[{""type"":""COMPANY"",""text"":""not"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1}]}'","('COMPANY', 'NONE')",COMPANY,NONE
1009,39,Very whimsical,"I tried on the xs in store i typically need petite) and it was a great length for me, i think petite would be too short for me to wear to work. the xs was a little snug on the waist, but the rest of the skirt fit perfectly, so though it was snug, i think i would still buy the xs. (stretchy band). the cream color/ivory is a nice summery color, not see-through unless you have dark unders. flirty and overall nice and airy for warm summer days. 115 lbs, 26-27 inches waist)",4,1,1,General,Bottoms,Skirts,adultos,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":473,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""fit perfectly"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'","('PRODUCT', 'BEM')",PRODUCT,BEM
1072,32,Adorable,"Love this dress! perfect length and i love the construction and where the seams hit (not too long, not too short). i got so many compliments with this dress!",5,1,1,General,Dresses,Dresses,adultos,boa,"b'{""usage"":{""text_units"":1,""text_characters"":157,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""Love this dress"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""i love the construction"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'","('PRODUCT', 'BEM')",PRODUCT,BEM
829,27,"Sweet design, but too short to wear around","I liked the quality of the top and the design. but when i got a top that fit well across the chest, it was shorter than i usually like my tops, so i will be returning it.",3,0,0,General,Tops,Blouses,adultos,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":170,""features"":1},""language"":""en"",""entities"":[{""type"":""COMPANY"",""text"":""I liked the quality of the top and the design"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""PRODUCT"",""text"":""fit well across the chest"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'","('COMPANY', 'NONE')",COMPANY,NONE
1094,59,Amazing!,"This dress is amazing! it fits true to size, very flattering and the fabric is beautiful!
i am 5'4"" and it felt a little long for me so i am having it hemmed up one inch, but others may like the hemline just as it is. i like my dresses just right above my knee and it was hitting in the middle of my knee.
just love everything about it and would definitely recommend it highly!",5,1,0,General,Dresses,Dresses,adultos,boa,"b'{""usage"":{""text_units"":1,""text_characters"":377,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""This dress is amazing"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""it fits true to size"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""very flattering and the fabric is beautiful"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""just love everything about it and would definitely recommend it highly"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'","('PRODUCT', 'BEM')",PRODUCT,BEM
868,29,,Nice stretchy shirt. nothing special so i wouldn't pay more than sale price.,4,1,1,General,Tops,Knits,adultos,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":76,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""i wouldn\'t pay more than sale price"",""disambiguation"":{""subtype"":[""MAL""]},""count"":1}]}'","('PRODUCT', 'MAL')",PRODUCT,MAL
1094,35,Love!,"Retailer, take me away! this dress transports me to an island. i ordered a small and exchanged for an xs, i could have probably even done an xxs (thank you vanity sizing). i'm not tiny. i'm 5'4'' and 130lbs with lots of baby left overs. 
i love the details of the dress and so many people stopped me to compliment it. and, while a few people thought i was pregnant while wearing this dress (because women obviously only wear flowy dresses when they're pregnant), i welcomed the seat offers with wide o",4,1,1,General Petite,Dresses,Dresses,adultos,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":501,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""this dress"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""PRODUCT"",""text"":""i love the details of the dress"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'","('PRODUCT', 'BEM')",PRODUCT,BEM
